k,inertia_wcss,average_silhouette,calinski_harabasz_score,davies_bouldin_score,number_of_iterations,smallest_cluster_count,smallest_cluster_percent,any_small_cluster,any_extremely_small_cluster,minimum_center_distance,mean_center_distance,maximum_center_distance,mean_top_feature_strength,minimum_cluster_profile_strength,wcss_reduction_from_previous_percent
2,3183755.851354992,0.14248241763939515,602.9403931787854,3.663451378324717,13,32719,28.06739124840229,False,False,2.891308731647115,2.891308731647115,2.891308731647115,0.48946205581398844,0.2750103860388321,
3,3038199.2888677996,0.0701903101829667,547.4147606321463,3.3931622846980507,26,9449,8.10565053657365,False,False,2.459889737586981,4.005093540147375,4.96045438991218,0.8770222404633352,0.3839130614770164,4.571850646940911
4,2941524.425287307,0.04498847298994318,488.92041202067486,3.24289075094167,15,8360,7.1714719531967095,False,False,2.363150217779737,3.9206307308981785,5.321565026753351,0.8686336742963748,0.43758274611377723,3.181979007589042
5,2874059.123137697,0.032794272666478705,432.74818394070275,3.226930962974671,93,7842,6.727115198201986,False,False,2.2882017846209917,3.85119839606068,5.521636282677634,0.8848408608632077,0.53390294748522,2.293548935702616
6,2793378.291307661,0.03689838395528214,417.5782185617115,2.9451162923377834,30,3329,2.8557213076784502,True,False,2.275193345966772,4.565806535046203,6.7582555039654775,0.9781079491937841,0.5361903087830269,2.8072084940950814
