k,inertia_wcss,average_silhouette,calinski_harabasz_score,davies_bouldin_score,number_of_iterations,smallest_cluster_count,smallest_cluster_percent,any_small_cluster,any_extremely_small_cluster,minimum_center_distance,mean_center_distance,maximum_center_distance,mean_top_feature_strength,minimum_cluster_profile_strength,wcss_reduction_from_previous_percent,elbow_distance,mean_pairwise_ari,minimum_pairwise_ari,maximum_pairwise_ari,stable_mean_ari_at_least_0_90,stable_minimum_ari_at_least_0_80,silhouette_component,stability_component,minimum_cluster_size_component,center_separation_component,profile_strength_component,calinski_harabasz_component,davies_bouldin_component,elbow_component,small_cluster_penalty,extremely_small_cluster_penalty,balanced_evidence_score,evidence_rank,interpretability_review,clinical_plausibility_review
2,3183755.851354992,0.14248241763939515,602.9403931787854,3.663451378324717,13,32719,28.06739124840229,False,False,2.891308731647115,2.891308731647115,2.891308731647115,0.48946205581398844,0.2750103860388321,,0.0,0.9908440765326476,0.9817751346926875,0.9973985096759591,True,True,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,1,Review standardized centers and top features,Clinical review required before final confirmation
3,3038199.2888677996,0.0701903101829667,547.4147606321463,3.3931622846980507,26,9449,8.10565053657365,False,False,2.459889737586981,4.005093540147375,4.96045438991218,0.8770222404633352,0.3839130614770164,4.571850646940911,0.08687583731414725,0.9851070931915942,0.9690011377421288,0.9934851336988292,True,True,0.34093053105895454,0.9843303068015411,0.20823409322898948,0.2997756522769816,0.41696419194076395,0.7004478790705527,0.376271602068986,1.0,0.0,0.0,0.5380602819282239,2,Review standardized centers and top features,Clinical review required before final confirmation
4,2941524.425287307,0.04498847298994318,488.92041202067486,3.24289075094167,15,8360,7.1714719531967095,False,False,2.363150217779737,3.9206307308981785,5.321565026753351,0.8686336742963748,0.43758274611377723,3.181979007589042,0.08521026162121577,0.9795716022523073,0.9697772357144943,0.9957433334388217,True,True,0.11117154298192748,0.9692109593039159,0.1711806736985369,0.14276038848768408,0.6224535116130346,0.3848799983402438,0.5854658022240851,0.0,0.0,0.0,0.42081140666452976,3,Review standardized centers and top features,Clinical review required before final confirmation
5,2874059.123137697,0.032794272666478705,432.74818394070275,3.226930962974671,93,7842,6.727115198201986,False,False,2.2882017846209917,3.85119839606068,5.521636282677634,0.8848408608632077,0.53390294748522,2.293548935702616,0.030636217109640415,0.7480318438172017,0.43608798615360883,0.9961146875887085,False,False,0.0,0.3367954959434826,0.15355563116706367,0.021113640328678414,0.9912422008790962,0.08183959543164501,0.6076835502894902,0.0,0.0,0.0,0.24294396006776442,4,Review standardized centers and top features,Clinical review required before final confirmation
6,2793378.291307661,0.03689838395528214,417.5782185617115,2.9451162923377834,30,3329,2.8557213076784502,True,False,2.275193345966772,4.565806535046203,6.7582555039654775,0.9781079491937841,0.5361903087830269,2.8072084940950814,0.0,0.6247243785657686,0.4259199372750808,0.9987898583612741,False,False,0.03741617920347542,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,-0.04064595519913117,5,Review standardized centers and top features,Clinical review required before final confirmation
