k,mean_pairwise_ari,minimum_pairwise_ari,maximum_pairwise_ari,stable_mean_ari_at_least_0_90,stable_minimum_ari_at_least_0_80
2,0.9908440765326476,0.9817751346926875,0.9973985096759591,True,True
3,0.9851070931915942,0.9690011377421288,0.9934851336988292,True,True
4,0.9795716022523073,0.9697772357144943,0.9957433334388217,True,True
5,0.7480318438172017,0.43608798615360883,0.9961146875887085,False,False
6,0.6247243785657686,0.4259199372750808,0.9987898583612741,False,False
