k,inertia_wcss,wcss_reduction_from_previous_percent,elbow_distance,numerical_elbow_candidate
2,3183755.851354992,,0.0,False
3,3038199.2888677996,4.571850646940911,0.08687583731414725,True
4,2941524.425287307,3.181979007589042,0.08521026162121577,False
5,2874059.123137697,2.293548935702616,0.030636217109640415,False
6,2793378.291307661,2.8072084940950814,0.0,False
