,Seed 0,Seed 7,Seed 21,Seed 42,Seed 99
Seed 0,1.0,0.7343797521460423,0.8416062684113457,0.7916403054260804,0.8382562197656586
Seed 7,0.7343797521460423,1.0,0.7664679446919602,0.8167978067174996,0.7446892879377958
Seed 21,0.8416062684113457,0.7664679446919602,1.0,0.7400273466725186,0.7368106110864722
Seed 42,0.7916403054260804,0.8167978067174996,0.7400273466725186,1.0,0.9009224646610361
Seed 99,0.8382562197656586,0.7446892879377958,0.7368106110864722,0.9009224646610361,1.0
