Condition,Clusters,Time_seconds,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Homogeneity,Completeness,V_measure,ARI,AMI,Min_cluster_size,Max_cluster_size,Size_ratio
k = 2,2,0.05664324760437012,100427.31228018431,0.09979295305641829,164.25302124035986,2.857905043408251,0.21513914126558087,0.7806150374578277,0.33731387205019275,0.1368438665583352,0.33617779525592506,594,1203,2.025252525252525
k = 4,4,0.06540489196777344,89113.86809287967,0.0964166830330511,137.50989341393856,2.5108413999208996,0.36512238939941066,0.6100392637044464,0.4568247590176773,0.28795117558127353,0.45458645504850836,358,502,1.4022346368715084
k = 6,6,0.07032084465026855,81695.76883490321,0.10755639412368255,122.42231324793873,2.240910496445984,0.4488486965409694,0.6299195096165051,0.5241877712065642,0.3660360601262456,0.5210750735898186,33,428,12.969696969696969
k = 8,8,0.07011795043945312,75181.30663898427,0.12816023386037323,117.06073942533692,1.9832054260676435,0.5297743011604505,0.6464808660254829,0.5823378439758472,0.41217411137257565,0.5787263270121773,29,446,15.379310344827585
k = 10,10,0.07541990280151367,69405.49806486614,0.15017524266452914,115.03724242410594,1.8974999764213578,0.6030992474653762,0.6514871325501832,0.6263600587940679,0.4679268850431874,0.6224288205906096,29,421,14.517241379310345
k = 12,12,0.08238768577575684,65115.72496869931,0.16341063961586297,110.9001438579414,1.7323095328911673,0.6775125582700186,0.6912948184596148,0.684334302891315,0.5468711305043609,0.6803848563556094,4,399,99.75
k = 14,14,0.09122157096862793,61747.56734333452,0.1545986446731176,106.32769977087902,1.702908614272626,0.7253870502214512,0.6973530705129819,0.7110938665610388,0.6100379661485895,0.7072600638387091,1,265,265.0
