Condition,Clusters,Time_seconds,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Homogeneity,Completeness,V_measure,ARI,AMI,Min_cluster_size,Max_cluster_size,Size_ratio
K-Means++,10,0.07831835746765137,69405.49806486614,0.15017524266452914,115.03724242410594,1.8974999764213578,0.6030992474653762,0.6514871325501832,0.6263600587940679,0.4679268850431874,0.6224288205906096,29,421,14.517241379310345
Random,10,0.07274746894836426,69735.37802110382,0.14879902299345324,113.55380630588961,1.853533254547481,0.680802420895721,0.7225104367081835,0.7010366245389232,0.5740988810327696,0.6979121018266335,23,397,17.26086956521739
PCA-based,10,0.010249614715576172,71018.50555591298,0.14343144620167447,107.91476739706829,2.011777169858145,0.6746371067065484,0.725497801679479,0.6991436823915838,0.5475841825002706,0.6959894038743879,32,417,13.03125
