Fit_time_sec,Inertia,Iterations,Silhouette,Calinski_Harabasz,Davies_Bouldin,Min_cluster_size,Max_cluster_size,Min_cluster_pct,Homogeneity,Completeness,V_measure,ARI,AMI,Seed,Largest_cluster,Second_cluster,Third_cluster,Smallest_cluster
0.014101500000833767,2838.3203728055796,29,0.02853691193931392,75.63731869958593,4.8894466508053505,292,1629,8.621198700915263,0.4011408283090895,0.4534102634850647,0.4256769908897461,0.3223081892431365,0.4250845532961936,0,1629,912,554,292
0.01338690000011411,2838.32836461633,25,0.032568484433280705,75.63393058641135,4.899030594404633,291,1609,8.591674047829938,0.4064307563426277,0.4570163915014569,0.430241777097065,0.33256345551478694,0.4296554873717531,1,1609,910,577,291
0.01596579999932146,2843.4808319284366,52,0.02996527734052475,73.45351603099519,5.390208191798713,560,1414,16.5338057277827,0.40949124282483235,0.4277217421547016,0.4184080058968813,0.30678138753493867,0.41783062677778715,2,1414,801,612,560
0.01146090000111144,2860.272488036656,20,0.03315109639676381,66.40216091120841,5.282767443142743,452,1704,13.345143194567463,0.4089285447412786,0.454226226519723,0.4303887923197649,0.3121529258141045,0.42980618275046734,3,1704,626,605,452
0.01196209999943676,2860.4824012587287,24,0.0333169006401801,66.31453553904649,5.160118100372162,397,1751,11.72128727487452,0.4142219595980346,0.4681892656237237,0.4395553218867678,0.3185936240674558,0.4389773073232185,4,1751,665,574,397
0.012270600000192644,2843.4763080577395,22,0.030148065187163595,73.45542697091831,5.392303914146755,569,1411,16.799527605550637,0.4117522187600586,0.42985545671996567,0.4206091346531812,0.31082054627623384,0.4200340911744579,5,1411,804,603,569
0.0160050999984378,2851.8444939440383,44,0.030806371663075358,69.93096658289798,4.822580311973323,221,1337,6.5249483318571,0.39445075704691307,0.4445111713388747,0.41798742497836444,0.39343286408646605,0.4173877524093944,6,1337,1243,586,221
0.013165299998945557,2866.689582749768,22,0.02706045642426625,63.72923364114436,5.666857304110449,514,1165,15.175671685857692,0.41292659706700263,0.43070491341577244,0.42162842906386244,0.3911025431559184,0.42105462098291246,7,1165,1163,545,514
0.012991500001589884,2843.4510441007246,32,0.028701741087626475,73.46609889615037,5.3686449269682095,537,1443,15.854738706820196,0.4085105346596176,0.42929090541128323,0.4186430075346578,0.29969613028878056,0.4180641364840347,8,1443,800,607,537
0.013777299998764647,2839.8778833723118,30,0.03001885197432999,74.97737529738127,4.936319069935666,257,1495,7.587835842928846,0.3758477113703465,0.4232508834401206,0.3981433002373812,0.33731302468141044,0.3975234767846884,9,1495,1081,554,257
0.014082800000323914,2843.456496712932,39,0.029239431865965462,73.46379560394645,5.3804602092497005,553,1428,16.327133156185415,0.40954658812069966,0.4289056115614654,0.4190026095880173,0.30342277574462034,0.41842507316987826,10,1428,798,608,553
0.014739899999767658,2843.457878798021,36,0.029204891222922982,73.46321178502824,5.3825028356685625,561,1423,16.563330380868024,0.4092559541844052,0.42820423850482653,0.4185157354222569,0.3054136387557125,0.4179379788936046,11,1423,801,602,561
0.014048499999262276,2843.436535782641,34,0.02911726245190569,73.47222754224559,5.368156193274861,528,1446,15.589016829052257,0.40847713591455914,0.4298995449609567,0.4189146450811123,0.3010600709511301,0.41833561695706195,12,1446,810,603,528
0.012197199999718578,2838.3232304375542,18,0.029986559563489227,75.63610720968018,4.894601753383036,292,1618,8.621198700915263,0.4052836227629816,0.45658000739779864,0.4294052864136031,0.3286196568416679,0.42881761633089727,13,1618,908,569,292
0.013417600001048413,2843.512368205684,32,0.029417130014798835,73.44019487948088,5.396135090102528,569,1406,16.799527605550637,0.4100737229110986,0.4275920863022505,0.41864972113867993,0.3085365594130431,0.4180730731197333,14,1406,800,612,569
0.011887200000273879,2838.324535363575,20,0.030339812949565337,75.63555398855216,4.8984458372553785,292,1613,8.621198700915263,0.4045049631543174,0.4552822291004196,0.4283941956011757,0.3295074462168631,0.4278057413946763,15,1613,911,571,292
0.012738100000206032,2843.4519282645806,28,0.030565881492564832,73.46572540709343,5.3709719503846065,537,1440,15.854738706820196,0.40806044728956276,0.4286743657029515,0.4181134827764861,0.30099322305274023,0.41753417949906885,16,1440,804,606,537
0.0123609000002034,2838.3261359401267,24,0.03062653314046503,75.63487542758837,4.896466835675757,292,1617,8.621198700915263,0.40515209932204277,0.45631625785202556,0.4292148127877677,0.32881494891542185,0.42862701707611767,17,1617,908,570,292
0.014012600000569364,2843.485661380377,32,0.03093443081661894,73.45147601641808,5.388986003373759,566,1416,16.71095364629466,0.40848101155044036,0.4267574777076365,0.4174192842467698,0.30599486688480654,0.41684086313157004,18,1416,800,605,566
0.015787899999850197,2843.451486912917,48,0.030059151119745664,73.46591184311401,5.378895625507003,552,1431,16.29760850310009,0.40978237189551936,0.42941054540567375,0.41936691357973027,0.30299941921547796,0.41878956847039955,19,1431,798,606,552
