Initialization,Fit_time_sec_mean,Inertia_mean,Iterations_mean,Homogeneity_mean,Completeness_mean,V_measure_mean,ARI_mean,AMI_mean,Silhouette_mean,Calinski_Harabasz_mean,Davies_Bouldin_mean,Min_cluster_size_mean,Max_cluster_size_mean,Min_cluster_pct_mean,Fit_time_sec_std,Inertia_std,Iterations_std,Homogeneity_std,Completeness_std,V_measure_std,ARI_std,AMI_std,Silhouette_std,Calinski_Harabasz_std,Davies_Bouldin_std,Min_cluster_size_std,Max_cluster_size_std,Min_cluster_pct_std
farthest-first,0.013691040000230715,2843.6856187905523,37.7,0.40443128864490296,0.4386179928141084,0.42067024328226293,0.3239065279516731,0.42008460437282896,0.030528912212232324,73.37349092276803,5.174408536547449,418.5,1488.1,12.356067316209035,0.0018429134179190237,6.618338720598865,12.767536959022284,0.008297724450352836,0.016203806459926456,0.009189221449383729,0.02281270314849012,0.009193319023208016,0.0014792526099797268,2.7812768258214944,0.22324822392924332,145.4917523435607,120.79275640534081,4.295593514719832
k-means++,0.013822050000271702,2848.6223770870315,30.0,0.4043701150719802,0.4418177219610686,0.42212821845576726,0.33247646906632317,0.42154182353549075,0.030427415708652494,71.30005631557397,5.180827650765801,409.0,1495.8,12.075583111898435,0.0016045064861444321,9.906642060798324,9.869143833180262,0.011025024700301604,0.014795290198462242,0.010350512974823619,0.031763247663275464,0.010359504826563701,0.0019708436693887227,4.160868868577235,0.2689463237930216,128.0093746567024,170.39589196926084,3.7794323784086923
random,0.013504020000073069,2849.7060889413588,32.3,0.3996791271743575,0.43342198402355425,0.4156523367476453,0.3404419867486341,0.4150612934152823,0.029636101795904514,70.84368974740036,5.215843405315523,403.9,1432.0,11.925007381163272,0.0013561637554767806,9.76574757090091,8.025584090893322,0.019463593708203084,0.021397631272034506,0.01810819838326092,0.04079271341320178,0.01812684891991712,0.0024338655799497413,4.100460823425062,0.2887052845951129,155.62355220210083,104.8236614510293,4.594731390673187
