Estimator,Train_time_sec,Inertia,Iterations,Homogeneity,Completeness,V_measure,ARI,Silhouette
KMeans: TF-IDF,0.1615892800000438,3199.7975117738306,27.6,0.34914450930838126,0.39766596540753996,0.3717944363285328,0.20278598249922344,0.006954904166638166
KMeans: TF-IDF + LSA,0.016085580000071785,2848.1768917291456,30.0,0.40804266636317255,0.45211277785693404,0.428854177618045,0.3184799164348845,0.031732991160217286
MiniBatch: TF-IDF + LSA,0.11144312000033096,2901.5287454662403,8.0,0.23262191545547367,0.28769477273805133,0.24999906054042595,0.20455410680456163,0.0172306510003523
KMeans: Hash + LSA,0.01782972000037262,2893.13572305138,36.2,0.3354183705399302,0.4241851439344845,0.37220627350064595,0.2844675185084933,0.028288823287619995
MiniBatch: Hash + LSA,0.09551543999987189,2898.1730941940314,7.8,0.27649095379155886,0.3151871389859345,0.2887310837538345,0.2349495433121504,0.022501638142134635
