Fit_time_sec,Inertia,Iterations,Silhouette,Calinski_Harabasz,Davies_Bouldin,Min_cluster_size,Max_cluster_size,Min_cluster_pct,Homogeneity,Completeness,V_measure,ARI,AMI,Initialization,Seed
0.014650700000856887,2838.3203728055796,29,0.02853691193931392,75.63731869958593,4.8894466508053505,292,1629,8.621198700915263,0.4011408283090895,0.4534102634850647,0.4256769908897461,0.3223081892431365,0.4250845532961936,k-means++,0
0.01283049999983632,2838.32836461633,25,0.032568484433280705,75.63393058641135,4.899030594404633,291,1609,8.591674047829938,0.4064307563426277,0.4570163915014569,0.430241777097065,0.33256345551478694,0.4296554873717531,k-means++,1
0.017186799999763025,2843.4808319284366,52,0.02996527734052475,73.45351603099519,5.390208191798713,560,1414,16.5338057277827,0.40949124282483235,0.4277217421547016,0.4184080058968813,0.30678138753493867,0.41783062677778715,k-means++,2
0.013208100001065759,2860.272488036656,20,0.03315109639676381,66.40216091120841,5.282767443142743,452,1704,13.345143194567463,0.4089285447412786,0.454226226519723,0.4303887923197649,0.3121529258141045,0.42980618275046734,k-means++,3
0.013221300001532654,2860.4824012587287,24,0.0333169006401801,66.31453553904649,5.160118100372162,397,1751,11.72128727487452,0.4142219595980346,0.4681892656237237,0.4395553218867678,0.3185936240674558,0.4389773073232185,k-means++,4
0.011431700000684941,2843.4763080577395,22,0.030148065187163595,73.45542697091831,5.392303914146755,569,1411,16.799527605550637,0.4117522187600586,0.42985545671996567,0.4206091346531812,0.31082054627623384,0.4200340911744579,k-means++,5
0.015278299999408773,2851.8444939440383,44,0.030806371663075358,69.93096658289798,4.822580311973323,221,1337,6.5249483318571,0.39445075704691307,0.4445111713388747,0.41798742497836444,0.39343286408646605,0.4173877524093944,k-means++,6
0.011916899999050656,2866.689582749768,22,0.02706045642426625,63.72923364114436,5.666857304110449,514,1165,15.175671685857692,0.41292659706700263,0.43070491341577244,0.42162842906386244,0.3911025431559184,0.42105462098291246,k-means++,7
0.014554800000041723,2843.4510441007246,32,0.028701741087626475,73.46609889615037,5.3686449269682095,537,1443,15.854738706820196,0.4085105346596176,0.42929090541128323,0.4186430075346578,0.29969613028878056,0.4180641364840347,k-means++,8
0.013941400000476278,2839.8778833723118,30,0.03001885197432999,74.97737529738127,4.936319069935666,257,1495,7.587835842928846,0.3758477113703465,0.4232508834401206,0.3981433002373812,0.33731302468141044,0.3975234767846884,k-means++,9
0.011855000000650762,2843.5065074387994,27,0.028437640266617326,73.44267048743204,5.395353619689718,567,1406,16.740478299379983,0.4102964403264194,0.42789038245133776,0.41890875876067984,0.3090290098270918,0.4183323235531896,random,0
0.012655599999561673,2843.4839550312786,28,0.031645280887785676,73.45219679659233,5.3899013737759836,559,1414,16.50428107469737,0.41057448031999416,0.4289141169390945,0.4195439729357715,0.307780536540915,0.41896768102137144,random,1
0.0118120999995881,2864.43959631393,21,0.028640846245691572,64.66506228240965,5.444233335684059,333,1506,9.83170947741364,0.37384044201738154,0.41090093322501303,0.3914955712759385,0.31908937997717096,0.39087621863276456,random,2
0.01609400000052119,2838.3172549677847,49,0.03003027690196988,75.6386405062435,4.89022031695878,290,1629,8.562149394744612,0.40040278301824983,0.4527183654153194,0.4249565112026571,0.3222964826914796,0.4243632397634153,random,3
0.012498199999754434,2840.175914718742,26,0.030144818409058326,74.85117690901858,5.0202634408834825,292,1467,8.621198700915263,0.37784194034209406,0.4198489515924939,0.39773938532899855,0.3364665670865549,0.39712312996366245,random,4
0.013685200001418707,2857.0965844292573,28,0.030013790372695526,67.72946903150608,5.35771928445266,489,1201,14.437555358724536,0.38959897501335855,0.4034364642835135,0.3963969960969946,0.39879274029848305,0.395800300399373,random,5
0.014027700000951882,2843.4033004330045,36,0.029752387943665706,73.48626715143682,5.3681575640566805,537,1444,15.854738706820196,0.4098111254850468,0.4310878517101522,0.42018031293492475,0.30349984421119347,0.4196026883883546,random,6
0.015156699999351986,2865.044424549432,43,0.024055759169458995,64.41335383084991,5.376761778905271,337,1486,9.949808089754946,0.43961059116780576,0.479438574450463,0.4586615885800408,0.4122037793728723,0.45811266707833886,random,7
0.012821199999962118,2858.1094943224575,31,0.034220425202035866,67.3058223606742,4.526482190880888,76,1350,2.243873634484795,0.3764807670531383,0.4533235004854014,0.411344182869079,0.3910085684764068,0.41071717955297893,random,8
0.01443449999896984,2843.483857208901,34,0.029419792560066247,73.45223811784061,5.389341147867714,559,1417,16.50428107469737,0.40833372700008636,0.4266606996827539,0.41729608749136776,0.3042529590041728,0.4167175057993743,random,9
0.014085900000281981,2843.512368205684,47,0.028423247129673528,73.44019487948087,5.396135090102529,569,1406,16.799527605550637,0.4100737229110986,0.4275920863022505,0.41864972113867993,0.3085365594130431,0.4180730731197333,farthest-first,0
0.013727400000789203,2843.478458341784,38,0.031654773348802394,73.45451866311403,5.383600222408934,555,1425,16.386182462356068,0.4062544982398382,0.4251183149678663,0.4154723969706916,0.30116746128718064,0.41489158009574084,farthest-first,1
0.017769400001270697,2843.503683614079,65,0.02996321461794716,73.44386328428237,5.396439779184169,569,1406,16.799527605550637,0.410798976668702,0.42834832292504776,0.419390142351773,0.30929125636644744,0.4188142287651321,farthest-first,2
0.012961999998879037,2838.3185986299413,35,0.03005918780165013,75.63807086060696,4.893182741277458,292,1627,8.621198700915263,0.4006628002101989,0.45263278511116983,0.42506517616936035,0.3225210402940295,0.4244722544388744,farthest-first,3
0.010810699999638018,2840.101347055639,19,0.030550528634676857,74.88274935467348,4.954758809651929,255,1414,7.528786536758194,0.39071866132014144,0.43342830430085905,0.4109668151409991,0.36734279635838774,0.4103645207607214,farthest-first,4
0.014117100001385552,2843.509965330357,40,0.03022490423136637,73.44120986099233,5.399348278755257,570,1403,16.82905225863596,0.41111502047778575,0.4284829238616304,0.419619336148691,0.31022154027358473,0.419043779003918,farthest-first,5
0.011785900000177207,2840.1110239265017,25,0.032559090704647006,74.87865200942694,4.9463377667772965,253,1417,7.4697372305875405,0.3874633505355069,0.4307314783352163,0.40795335264394456,0.3636035853531172,0.40734735820538415,farthest-first,6
0.015112600000065868,2862.519140259832,45,0.03336881601095716,65.4649942916486,5.084889200134391,276,1761,8.148804251550045,0.41188391260674134,0.4756429290965573,0.44147322973137465,0.3174019194587424,0.4408912486912644,farthest-first,7
0.012230899999849498,2838.32732088852,23,0.029082234556007128,75.63437307177526,4.90339963063322,292,1600,8.621198700915263,0.40681652544394337,0.45681494587169086,0.43036845048566974,0.33536711715636053,0.42978267767286454,farthest-first,8
0.014308499999970081,2843.4742816531843,40,0.029403125086595473,73.4562829516795,5.385993846549308,554,1422,16.356657809270743,0.4085254180350726,0.42738783736879643,0.41774381204144506,0.3036120035558373,0.4171653229746566,farthest-first,9
