k,cluster,rank,variable,standardized_center_value,absolute_center_value,direction
6,0,1,chloride,0.8570085048097661,0.8570085048097661,above overall average
6,0,2,sodium,0.6615225422592027,0.6615225422592027,above overall average
6,0,3,gcs,-0.6343139032036405,0.6343139032036405,below overall average
6,0,4,pao2,0.5283930412603055,0.5283930412603055,above overall average
6,0,5,oxygen_saturation,0.448275538352092,0.448275538352092,above overall average
6,1,1,bicarbonate,0.6173545499137453,0.6173545499137453,above overall average
6,1,2,chloride,-0.597686190192799,0.597686190192799,below overall average
6,1,3,oxygen_saturation,-0.5719059879114178,0.5719059879114178,below overall average
6,1,4,respiratory_rate,0.5551160433817645,0.5551160433817645,above overall average
6,1,5,creatinine,-0.3730001338210355,0.3730001338210355,below overall average
6,2,1,ast,2.577189743819618,2.577189743819618,above overall average
6,2,2,alt,2.4490699362961856,2.4490699362961856,above overall average
6,2,3,total_bilirubin,2.1611803275001096,2.1611803275001096,above overall average
6,2,4,lactate,1.3427027945655152,1.3427027945655152,above overall average
6,2,5,inr,0.8334751636285118,0.8334751636285118,above overall average
6,3,1,bun,-0.6634917928059899,0.6634917928059899,below overall average
6,3,2,hemoglobin,0.5950374095277339,0.5950374095277339,above overall average
6,3,3,creatinine,-0.4828381084079627,0.4828381084079627,below overall average
6,3,4,albumin,0.481468343847845,0.481468343847845,above overall average
6,3,5,heart_rate,-0.45811588932560326,0.45811588932560326,below overall average
6,4,1,troponin,5.072061292057711,5.072061292057711,above overall average
6,4,2,ast,0.7044057714954186,0.7044057714954186,above overall average
6,4,3,hemoglobin,0.5964756139795773,0.5964756139795773,above overall average
6,4,4,heart_rate,-0.3284513561951753,0.3284513561951753,below overall average
6,4,5,alt,0.3102265808112502,0.3102265808112502,above overall average
6,5,1,creatinine,1.6710905315503888,1.6710905315503888,above overall average
6,5,2,bun,1.3113359595144913,1.3113359595144913,above overall average
6,5,3,hemoglobin,-0.5966197970955714,0.5966197970955714,below overall average
6,5,4,chloride,-0.4456737226042141,0.4456737226042141,below overall average
6,5,5,sodium,-0.417751905678881,0.417751905678881,below overall average
