k,cluster,rank,variable,standardized_center_value,absolute_center_value,direction
3,0,1,ast,2.3782689813489415,2.3782689813489415,above overall average
3,0,2,alt,2.2034839570650417,2.2034839570650417,above overall average
3,0,3,total_bilirubin,1.805766546817981,1.805766546817981,above overall average
3,0,4,lactate,1.2909201015257008,1.2909201015257008,above overall average
3,0,5,inr,0.694985471426651,0.694985471426651,above overall average
3,1,1,bun,0.8668005358370393,0.8668005358370393,above overall average
3,1,2,creatinine,0.7586578099856576,0.7586578099856576,above overall average
3,1,3,hemoglobin,-0.5478893257741775,0.5478893257741775,below overall average
3,1,4,age,0.403966574275782,0.403966574275782,above overall average
3,1,5,albumin,-0.285028995507974,0.285028995507974,below overall average
3,2,1,bun,-0.5856401053708878,0.5856401053708878,below overall average
3,2,2,creatinine,-0.5172144785888045,0.5172144785888045,below overall average
3,2,3,hemoglobin,0.3431317598365221,0.3431317598365221,above overall average
3,2,4,albumin,0.24644521906376343,0.24644521906376343,above overall average
3,2,5,inr,-0.22713374452510435,0.22713374452510435,below overall average
