Condition,Clusters,Time_seconds,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Homogeneity,Completeness,V_measure,ARI,AMI,Min_cluster_size,Max_cluster_size,Size_ratio,Random_seed
Seed 0,10,0.010970115661621094,69749.08246174734,0.14588612522104738,113.49248242788352,1.8997152861774356,0.6721876619440289,0.7198684376074641,0.6952114676104877,0.5592963481556874,0.6920229586136651,32,402,12.5625,0
Seed 7,10,0.007603883743286133,70336.97159082483,0.13429263713989537,110.88432849217506,1.8648196972147386,0.5677234634584324,0.6360410528186579,0.599943634365838,0.44116867999560266,0.595591597385003,9,420,46.666666666666664,7
Seed 21,10,0.0109100341796875,69562.74487824528,0.13903710693007706,114.32836487381294,1.8298355539031506,0.6022482121705337,0.6805373743489903,0.6390037763503833,0.479359706633465,0.6352453525807447,2,449,224.5,21
Seed 42,10,0.010089397430419922,69845.7847476827,0.13669444537954484,113.06044835877461,1.8060790632374897,0.6392922711591348,0.7082909963797815,0.6720252033763408,0.5305122615593327,0.6686445587727569,2,413,206.5,42
Seed 99,10,0.009093761444091797,69677.40122801585,0.15252356099710068,113.81350456636645,1.8683335060950834,0.6812015639608028,0.7207294785335,0.7004082698620595,0.5702448152402257,0.697292544821095,29,398,13.724137931034482,99
