Condition,Clusters,Time_seconds,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Homogeneity,Completeness,V_measure,ARI,AMI,Min_cluster_size,Max_cluster_size,Size_ratio,Observations
Original structure,10,0.07822227478027344,433.4676504398018,0.38196383229195974,1447.818369973005,0.7893993457198987,0.4567052297208941,0.468465827723885,0.46251077948316777,0.3219503334318641,0.45705027358130595,61,291,4.770491803278689,1797
Poor separation,10,0.05971550941467285,568.4348070904755,0.3219099550696417,1056.8367212109938,0.8422447619252991,0.08065795598476781,0.0834191664932289,0.08201532739823833,0.02894835831806404,0.07265541438129453,85,312,3.6705882352941175,1797
Unequal size,10,0.05242776870727539,238.59750836823335,0.37012657140895866,787.8450679942215,0.814592515972872,0.48256069781837985,0.46767789049261377,0.4750027455556922,0.33993608336780723,0.4643973896281413,19,150,7.894736842105263,986
Non-spherical,10,0.06848669052124023,474.5440761722982,0.3548204377424414,1305.2539005699102,0.8137002682865923,0.4343584616425085,0.4471935105346794,0.44068254946473984,0.2764791661134408,0.43499224706238343,72,320,4.444444444444445,1797
