Seed,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.0,0.9789048659917152,0.6661948030800143,0.5830455771310111,0.6180569244219702,0.6698126599073048,0.4131803542199404,0.3371488393395515,0.6712000494496988,0.8074121146806008,0.6650498386179389,0.6708134125292431,0.6736746572202592,0.988371010743238,0.6650510276689765,0.9837203418206727,0.6710910469811423,0.9875244336895784,0.6687433204810379,0.664785425120582
1,0.9789048659917152,1.0,0.6614127373285766,0.5974200904822796,0.6328449483628835,0.6663998806747123,0.4212112465132491,0.34302989014469654,0.6601856247024189,0.801501023731598,0.6588026272692045,0.6659370510396356,0.6627407254427861,0.9904612858059916,0.6616972815377105,0.9892146458760658,0.6601115658914664,0.9913104940125934,0.6653242590544475,0.6580386985582535
2,0.6661948030800143,0.6614127373285766,1.0,0.4482747467451524,0.4628263119706696,0.9723150091640798,0.3510814988136559,0.3338238065585246,0.9684352644008855,0.5426578304045836,0.9849264260167284,0.9877992128269025,0.9571838546757232,0.6655338165698816,0.9850303229581445,0.6650161303046711,0.969724200952355,0.667771691148054,0.9817756853953667,0.9823907709881168
3,0.5830455771310111,0.5974200904822796,0.4482747467451524,1.0,0.8014259851277835,0.4561119709294371,0.4980643971091283,0.5194060022121315,0.43698326013762745,0.5285417804114726,0.44469065613342784,0.4502614932583065,0.4341301603917405,0.5899649074225111,0.454461241686831,0.5920227251843481,0.43591876416676456,0.5911559337784068,0.45446405248072175,0.444280383955914
4,0.6180569244219702,0.6328449483628835,0.4628263119706696,0.8014259851277835,1.0,0.47134895286750506,0.4977184274424403,0.44779227720442455,0.45093824619161704,0.537211498121593,0.458946835131312,0.4650182971852243,0.4513324748437828,0.6255780099629599,0.4680568358529321,0.6288666000206218,0.45224255559192117,0.626295300211632,0.4681179650829277,0.45904845640095543
5,0.6698126599073048,0.6663998806747123,0.9723150091640798,0.4561119709294371,0.47134895286750506,1.0,0.35361789851622905,0.33421718303813447,0.9459888432947836,0.5461771697943856,0.9629613878013132,0.9776333557136412,0.9384173934007176,0.6705669294763725,0.9783370111245058,0.6700360555144356,0.9508179952195374,0.672810303347822,0.9803609659879154,0.9621369653314095
6,0.4131803542199404,0.4212112465132491,0.3510814988136559,0.4980643971091283,0.4977184274424403,0.35361789851622905,1.0,0.48505324928750554,0.34271881446683833,0.540633585592502,0.34652816387916174,0.3491010588768571,0.3432344962169761,0.41620655569690784,0.3530559796965379,0.4194167434931051,0.3444262046641713,0.41701944709422917,0.3510060260785817,0.34585875444388986
7,0.3371488393395515,0.34302989014469654,0.3338238065585246,0.5194060022121315,0.44779227720442455,0.33421718303813447,0.48505324928750554,1.0,0.32917106963099807,0.3325049483685418,0.3311048999808667,0.33134212589575396,0.32936967951068064,0.33973989528644927,0.3350463129115269,0.3416855624383578,0.32954571122551074,0.33998303301087257,0.33262826669532686,0.33036419209282847
8,0.6712000494496988,0.6601856247024189,0.9684352644008855,0.43698326013762745,0.45093824619161704,0.9459888432947836,0.34271881446683833,0.32917106963099807,1.0,0.5460644963244445,0.9814991911124561,0.9625842803113784,0.9756264894725333,0.6671832821385743,0.9601982048644017,0.6637607684059506,0.9853457144478838,0.6665372110942235,0.9570144911912405,0.9823232740505004
9,0.8074121146806008,0.801501023731598,0.5426578304045836,0.5285417804114726,0.537211498121593,0.5461771697943856,0.540633585592502,0.3325049483685418,0.5460644963244445,1.0,0.5414506683549704,0.5467892687326782,0.5480468960517713,0.8020370569813738,0.5419269159684098,0.8036248806270432,0.5450485556908248,0.8002899747565724,0.5447589173806099,0.5420545419996603
10,0.6650498386179389,0.6588026272692045,0.9849264260167284,0.44469065613342784,0.458946835131312,0.9629613878013132,0.34652816387916174,0.3311048999808667,0.9814991911124561,0.5414506683549704,1.0,0.9780106898391397,0.9664263834539629,0.6629345856694505,0.9718943325067647,0.6624059147950673,0.9767231550345029,0.6651651879616651,0.9679954046301654,0.9974490745921232
11,0.6708134125292431,0.6659370510396356,0.9877992128269025,0.4502614932583065,0.4650182971852243,0.9776333557136412,0.3491010588768571,0.33134212589575396,0.9625842803113784,0.5467892687326782,0.9780106898391397,1.0,0.9530483792988562,0.6701127388680418,0.9768043413446784,0.6695800221736745,0.9655598126105626,0.672359324824899,0.9842860066874949,0.9788719109705912
12,0.6736746572202592,0.6627407254427861,0.9571838546757232,0.4341301603917405,0.4513324748437828,0.9384173934007176,0.3432344962169761,0.32936967951068064,0.9756264894725333,0.5480468960517713,0.9664263834539629,0.9530483792988562,1.0,0.6697263477579667,0.9471991405340127,0.6662896184537447,0.9844521530468524,0.6690838327241955,0.9422119221011085,0.9689346857794808
13,0.988371010743238,0.9904612858059916,0.6655338165698816,0.5899649074225111,0.6255780099629599,0.6705669294763725,0.41620655569690784,0.33973989528644927,0.6671832821385743,0.8020370569813738,0.6629345856694505,0.6701127388680418,0.6697263477579667,1.0,0.6658197505400034,0.9936259049282203,0.6671027440117265,0.9974371609268742,0.6694864080282665,0.6621725620204368
14,0.6650510276689765,0.6616972815377105,0.9850303229581445,0.454461241686831,0.4680568358529321,0.9783370111245058,0.3530559796965379,0.3350463129115269,0.9601982048644017,0.5419269159684098,0.9718943325067647,0.9768043413446784,0.9471991405340127,0.6658197505400034,1.0,0.6653028239525266,0.9596551851585899,0.6680537475828021,0.990160469933253,0.9693716239007029
15,0.9837203418206727,0.9892146458760658,0.6650161303046711,0.5920227251843481,0.6288666000206218,0.6700360555144356,0.4194167434931051,0.3416855624383578,0.6637607684059506,0.8036248806270432,0.6624059147950673,0.6695800221736745,0.6662896184537447,0.9936259049282203,0.6653028239525266,1.0,0.6636750101071384,0.9961845740151203,0.6689613282206215,0.6616399928582003
16,0.6710910469811423,0.6601115658914664,0.969724200952355,0.43591876416676456,0.45224255559192117,0.9508179952195374,0.3444262046641713,0.32954571122551074,0.9853457144478838,0.5450485556908248,0.9767231550345029,0.9655598126105626,0.9844521530468524,0.6671027440117265,0.9596551851585899,0.6636750101071384,1.0,0.6664580405141932,0.9535137816630905,0.9792477351276205
17,0.9875244336895784,0.9913104940125934,0.667771691148054,0.5911559337784068,0.626295300211632,0.672810303347822,0.41701944709422917,0.33998303301087257,0.6665372110942235,0.8002899747565724,0.6651651879616651,0.672359324824899,0.6690838327241955,0.9974371609268742,0.6680537475828021,0.9961845740151203,0.6664580405141932,1.0,0.671727128715598,0.6644007912808559
18,0.6687433204810379,0.6653242590544475,0.9817756853953667,0.45446405248072175,0.4681179650829277,0.9803609659879154,0.3510060260785817,0.33262826669532686,0.9570144911912405,0.5447589173806099,0.9679954046301654,0.9842860066874949,0.9422119221011085,0.6694864080282665,0.990160469933253,0.6689613282206215,0.9535137816630905,0.671727128715598,1.0,0.9654889407755131
19,0.664785425120582,0.6580386985582535,0.9823907709881168,0.444280383955914,0.45904845640095543,0.9621369653314095,0.34585875444388986,0.33036419209282847,0.9823232740505004,0.5420545419996603,0.9974490745921232,0.9788719109705912,0.9689346857794808,0.6621725620204368,0.9693716239007029,0.6616399928582003,0.9792477351276205,0.6644007912808559,0.9654889407755131,1.0
