Dataset,Model,Clusters,Inertia,Silhouette,Davies_Bouldin,Calinski_Harabasz,ARI
Spherical blobs,KMeans k=2,2,15064.941559654839,0.5320078310977909,0.6522880286242576,2831.4035220229957,0.45740293284206274
Anisotropic blobs,KMeans k=3,3,1899.3066824911516,0.5100014905196579,0.7065894363685795,3716.5018709738556,0.6127304063332577
Unequal variance,KMeans k=3,3,5748.328435283263,0.6469266330302315,0.5689381219767203,5451.319793220024,0.8298019968970524
Uneven sizes,"KMeans k=3, n_init=auto",3,1293.4259252489903,0.37713889086766944,0.9460428551290855,1273.9340225304124,0.38212936903571326
Spherical blobs,KMeans k=3,3,2862.7319140789564,0.7333423486262539,0.3645102673195062,10633.868943793219,1.0
Uneven sizes,"KMeans k=3, n_init=10",3,1203.6015370173047,0.7449036414900642,0.38387999149798113,1391.6574066337403,1.0
Anisotropic blobs,GaussianMixture k=3,3,,0.4769285484691789,0.8576111248168529,2807.687452984813,1.0
Unequal variance,GaussianMixture k=3,3,,0.6193433949931887,0.5849544730812288,4552.88092979523,0.966393588375995
