variable,display_name,unit,group,cluster,n,mean,standard_deviation,median,q1,q3,minimum,maximum,skewness
ast,AST,U/L,Overall,,116573,82.29316394019199,376.885837917064,32.0,32.0,32.0,3.0,9958.0,14.349529765724347
ast,AST,U/L,Cluster 0,0.0,32719,201.5666126715364,694.8792460069565,32.0,32.0,92.0,3.0,9958.0,7.635554631340304
ast,AST,U/L,Cluster 1,1.0,83854,35.753845970377085,36.713290118020346,32.0,29.0,32.0,3.0,1728.0,11.340800926520533
alt,ALT,U/L,Overall,,116573,60.31704597119401,264.21347537764154,27.0,27.0,27.0,2.0,9529.0,15.793933208930673
alt,ALT,U/L,Cluster 0,0.0,32719,139.23487881658974,487.8441542338168,27.0,27.0,59.0,2.0,9529.0,8.44406027406807
alt,ALT,U/L,Cluster 1,1.0,83854,29.524089488873518,28.443879544789926,27.0,27.0,27.0,2.0,1588.0,17.095765956434214
total_bilirubin,Total bilirubin,mg/dL,Overall,,116573,0.9214366963190448,1.7669428260135116,0.64,0.64,0.64,0.1,58.0,12.138796421086035
total_bilirubin,Total bilirubin,mg/dL,Cluster 0,0.0,32719,1.5709801644304533,3.189137972011775,0.64,0.64,1.2,0.1,58.0,6.710462658534618
total_bilirubin,Total bilirubin,mg/dL,Cluster 1,1.0,83854,0.6679912705416557,0.3782247470818031,0.64,0.64,0.64,0.1,15.9,8.431300810180247
bun,Blood urea nitrogen,mg/dL,Overall,,116573,27.00073945081623,22.0117869215308,20.0,13.0,33.0,1.0,249.0,2.3891271752133556
bun,Blood urea nitrogen,mg/dL,Cluster 0,0.0,32719,47.55066780769584,28.43132114579145,41.0,27.0,61.0,1.0,249.0,1.48933417294662
bun,Blood urea nitrogen,mg/dL,Cluster 1,1.0,83854,18.982361008419396,11.362254293584394,16.0,11.0,23.0,1.0,164.0,1.948488955496069
creatinine,Creatinine,mg/dL,Overall,,116573,1.5562720955967506,1.7005886389292673,1.0,0.75,1.6,0.1,29.3,4.35017476623772
creatinine,Creatinine,mg/dL,Cluster 0,0.0,32719,2.96432293162994,2.575673238201361,2.1,1.34,3.61,0.1,29.3,2.6286284919427483
creatinine,Creatinine,mg/dL,Cluster 1,1.0,83854,1.0068646099172371,0.5970607535770274,0.88,0.7,1.14,0.1,13.16,4.452480982270928
inr,International normalized ratio,ratio,Overall,,116573,1.4238760261810197,0.6714584420664086,1.3,1.3,1.3,0.7,19.9,7.9432201980346
inr,International normalized ratio,ratio,Cluster 0,0.0,32719,1.705178642379046,1.1164262253651278,1.3,1.3,1.6,0.7,19.9,5.049172787924136
inr,International normalized ratio,ratio,Cluster 1,1.0,83854,1.3141145324015553,0.3122933887779314,1.3,1.3,1.3,0.7,10.3,7.090675860086051
