variable,scaler_mean,scaler_scale
age,63.924974050594905,16.47186996858698
sex_female,0.4537671673543616,0.4978579367505959
elixhauser_count,0.625746860902022,0.5079186894385631
heart_rate,85.5857384650498,16.380458064085843
respiratory_rate,3.008244444943219,0.21103961937476004
systolic_blood_pressure,119.69205583377652,18.9247425227552
temperature,37.09993529146895,0.3879396008352425
oxygen_saturation,96.87319041796795,2.1819176124635535
gcs,12.510529882562858,3.4538819183610294
wbc,2.4677682991541694,0.4872764687497037
band_count,2.169689072244552,0.2840542153041185
esr,3.4631773082902284,0.14532649876287845
crp,2.3126817565143782,0.16609876593203973
ast,3.6365245095665975,0.7883086842089216
alt,3.435724396212438,0.7340586484635595
total_bilirubin,0.5589163199751661,0.3254375969403603
bun,3.1001314062606804,0.6638995735263338
creatinine,0.8253573810510064,0.4163236488836482
inr,0.8654255873985801,0.17399260148409684
pao2,4.688700012598987,0.359354074142383
platelets,5.207440633580941,0.515733664577807
troponin,0.286926261050838,0.5476957866792828
glucose,4.9141572502243545,0.3915324219559914
sodium,138.33265850582896,5.353524401261302
hemoglobin,10.951929434774776,2.281721509487806
chloride,104.32455113962925,6.750595411879232
bicarbonate,24.091023650416478,5.623966915044035
lactate,1.0260367073295968,0.2711984806633323
albumin,2.878527188971717,0.4910748966121472
