,Seed 1,Seed 2,Seed 3,Seed 4
Seed 1,0.0,7.357839361871499,3.386689196054064,3.7498889546087355
Seed 2,7.357839361871499,0.0,3.9725557073900277,4.903241898002571
Seed 3,3.386689196054064,3.9725557073900277,0.0,2.352288202665815
Seed 4,3.7498889546087355,4.903241898002571,2.352288202665815,0.0
